zeros	ones	twos	U	L	H	I	Length of Sequence
0	0.157894736842105	0.210526315789474	0	0	0.631578947368421	0	76
0	0.251063829787234	0.136170212765957	0	0	0.612765957446809	0	235
0	0.106598984771574	0.233502538071066	0	0	0.65989847715736	0	394
0	0.401785714285714	0.107142857142857	0	0	0.491071428571429	0	112
0	0.546296296296296	0.12962962962963	0	0	0.324074074074074	0	108
0.107266435986159	0.460207612456747	0.131487889273356	0	0	0.301038062283737	0	289
0	0.584905660377358	0.0566037735849057	0	0	0.358490566037736	0	53
0	0.486486486486487	0.148648648648649	0	0	0.364864864864865	0	74
0	0.331506849315069	0.16986301369863	0	0	0.498630136986301	0	365
0	0.25830258302583	0.210332103321033	0	0.0738007380073801	0.457564575645756	0	271
0	0.217391304347826	0.219948849104859	0	0	0.562659846547315	0	391
0	0.854881266490765	0.0131926121372032	0.0554089709762533	0	0.0765171503957784	0	379
0	0.339622641509434	0.30188679245283	0	0	0.358490566037736	0	53
0	0.414634146341463	0.121951219512195	0	0	0.463414634146341	0	41
0	0.43010752688172	0.21505376344086	0	0	0.354838709677419	0	93
0	0.247288503253796	0.559652928416486	0	0	0.193058568329718	0	461
0	0.1625	0.2875	0.3	0	0.25	0	80
0	0.202702702702703	0.513513513513513	0.027027027027027	0	0.256756756756757	0	74
0	0.175257731958763	0.494845360824742	0.123711340206186	0	0.206185567010309	0	97
0.240963855421687	0.289156626506024	0.0843373493975904	0	0	0.385542168674699	0	83
0	0.455621301775148	0.284023668639053	0.130177514792899	0	0.130177514792899	0	169
0	0.129032258064516	0.161290322580645	0	0	0.709677419354839	0	31
0	0.214285714285714	0.142857142857143	0.342857142857143	0	0.3	0	70
0	0.157894736842105	0.210526315789474	0	0	0.631578947368421	0	38
0	0.333333333333333	0.0634920634920635	0.253968253968254	0	0.349206349206349	0	63
0	0.4125	0.0625	0.2625	0	0.2625	0	80
0	0.256410256410256	0	0.205128205128205	0	0.538461538461538	0	39
0	0.467213114754098	0.0655737704918033	0.00819672131147541	0	0.459016393442623	0	122
0.0125	0.225	0.183333333333333	0	0	0.579166666666667	0	240
0	0.073015873015873	0.793650793650794	0	0	0.133333333333333	0	315
0	0.0694087403598972	0.719794344473008	0.089974293059126	0	0.120822622107969	0	389
0	0.3	0.329411764705882	0	0	0.370588235294118	0	170
0	0.63768115942029	0.115942028985507	0	0	0.246376811594203	0	69
0	0.261904761904762	0.214285714285714	0	0	0.523809523809524	0	42
0	0.15	0.15	0.25	0	0.45	0	40
0	0.53416149068323	0.149068322981366	0	0	0.316770186335404	0	161
0	0.30952380952381	0.214285714285714	0	0	0.476190476190476	0	84
0	0.283378746594005	0.395095367847411	0.00136239782016349	0	0.32016348773842	0	734
0	0.229437229437229	0.341991341991342	0.333333333333333	0	0.0952380952380952	0	231
0	0.268585131894484	0.0863309352517986	0	0	0.645083932853717	0	417
0.0102564102564103	0.0820512820512821	0.241025641025641	0	0	0.666666666666667	0	195
0	0.25	0.166666666666667	0	0	0.583333333333333	0	36
0	0.351351351351351	0.027027027027027	0	0	0.621621621621622	0	37
0	0.108108108108108	0.189189189189189	0.027027027027027	0	0.675675675675676	0	37
0	0.185897435897436	0.198717948717949	0	0	0.615384615384615	0	156
0	0.23963133640553	0.184331797235023	0	0	0.576036866359447	0	217
0	0.193548387096774	0.032258064516129	0	0	0.774193548387097	0	31
0	0.147058823529412	0.117647058823529	0	0	0.735294117647059	0	34
0	0.396946564885496	0.145038167938931	0.00763358778625954	0	0.450381679389313	0	131
0	0.210084033613445	0.168067226890756	0	0	0.621848739495798	0	119
0.00998003992015968	0.315369261477046	0.171656686626747	0	0	0.502994011976048	0	501
0	0.707292707292707	0.0809190809190809	0.00799200799200799	0	0.203796203796204	0	1001
0.0403846153846154	0.938461538461538	0	0	0	0.0211538461538462	0	520
0	0.061038961038961	0.0428571428571429	0.87012987012987	0	0.025974025974026	0	770
0.0693430656934307	0.802919708029197	0	0.0072992700729927	0.0474452554744526	0.072992700729927	0	274
0	0.2	0.147826086956522	0	0	0.652173913043478	0	115
0	0.294573643410853	0.147286821705426	0	0	0.558139534883721	0	129
0	0.0616438356164384	0.780821917808219	0	0	0.157534246575342	0	146
0	0.189189189189189	0.297297297297297	0	0	0.513513513513513	0	37
0	0.265625	0.359375	0.03125	0	0.34375	0	64
0.00239234449760766	0.311004784688995	0.291866028708134	0	0	0.394736842105263	0	418
0	0.475609756097561	0.24390243902439	0.0121951219512195	0	0.268292682926829	0	82
0	0.173913043478261	0.434782608695652	0	0	0.391304347826087	0	46
0	0.490066225165563	0.145695364238411	0	0	0.364238410596026	0	151
0	0.36	0.06	0.14	0	0.44	0	50
0	0.222222222222222	0.222222222222222	0.03584229390681	0	0.519713261648746	0	558
0.00664451827242525	0.232558139534884	0.13953488372093	0	0	0.621262458471761	0	301
0	0.264765784114053	0.179226069246436	0	0	0.556008146639511	0	491
